Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2008-10-17 17:00:00.000 +0200,Overcast,rain,10.05555556,10.05555556,0.82,13.2503,259,10.3523,0,1018.86,Mostly cloudy until night.
2014-11-02 03:00:00.000 +0100,Foggy,snow,-0.366666667,-0.366666667,0.96,0,0,0.644,0,1026.49,Foggy starting overnight continuing until morning.
2008-06-18 01:00:00.000 +0200,Overcast,rain,17.68888889,17.68888889,0.9,6.4883,117,15.8263,0,1012.55,Foggy in the morning.
2010-01-04 08:00:00.000 +0100,Foggy,snow,-9.15,-9.15,0.85,4.6046,190,0.9016,0,1022.87,Foggy in the morning.
2015-07-25 08:00:00.000 +0200,Partly Cloudy,rain,27.12222222,27.46111111,0.49,10.0625,169,15.5526,0,1008.36,Partly cloudy starting in the afternoon.
2014-05-22 13:00:00.000 +0200,Partly Cloudy,rain,27.77777778,27.34444444,0.38,17.5812,131,16.1,0,1017.26,Partly cloudy starting in the morning.
2014-05-24 12:00:00.000 +0200,Mostly Cloudy,rain,25.07222222,25.07222222,0.54,8.8711,160,16.1,0,1013.67,Mostly cloudy throughout the day.
2006-08-07 21:00:00.000 +0200,Overcast,rain,17.22222222,17.22222222,0.93,3.2039,229,11.27,0,1004.12,Mostly cloudy throughout the day.
2013-08-07 03:00:00.000 +0200,Clear,rain,17.38888889,17.38888889,0.83,0,0,16.1,0,1014.41,Partly cloudy starting in the afternoon continuing until evening.
2012-03-12 10:00:00.000 +0100,Partly Cloudy,rain,7.116666667,3.494444444,0.44,22.4917,0,10.3684,0,1020.16,Partly cloudy starting in the morning.
2013-06-15 07:00:00.000 +0200,Partly Cloudy,rain,19.82222222,19.82222222,0.87,7.4865,321,9.982,0,1015.37,Partly cloudy throughout the day.
2006-04-18 10:00:00.000 +0200,Partly Cloudy,rain,15.08888889,15.08888889,0.77,7.3738,332,9.9015,0,1013.33,Partly cloudy until night.
2011-01-21 07:00:00.000 +0100,Overcast,rain,1.027777778,-3.938888889,0.86,20.1089,8,9.4507,0,1023.49,Overcast throughout the day.
2016-05-20 13:00:00.000 +0200,Mostly Cloudy,rain,21.15555556,21.15555556,0.42,19.9318,50,10.2557,0,1015.35,Partly cloudy throughout the day.
2013-06-22 19:00:00.000 +0200,Mostly Cloudy,rain,28.86111111,29.40555556,0.49,12.7995,62,10.0464,0,1009.78,Partly cloudy until night.
2013-06-10 00:00:00.000 +0200,Partly Cloudy,rain,18.28888889,18.28888889,0.9,10.5133,151,15.8263,0,1010.51,Mostly cloudy throughout the day.
2013-05-18 00:00:00.000 +0200,Mostly Cloudy,rain,14.37777778,14.37777778,1,2.9624,46,15.8746,0,1008.67,Partly cloudy until evening.
2015-10-17 13:00:00.000 +0200,Overcast,rain,12.85,12.85,0.96,9.3219,221,4.1216,0,1018.71,Foggy starting in the evening.
2010-09-28 14:00:00.000 +0200,Partly Cloudy,rain,20.71666667,20.71666667,0.51,18.837,258,11.4471,0,1012.58,Partly cloudy throughout the day.
2012-04-08 02:00:00.000 +0200,Mostly Cloudy,rain,8.977777778,6.055555556,0.86,20.4309,340,15.1501,0,999.22,Mostly cloudy throughout the day and breezy in the morning.
2011-01-15 01:00:00.000 +0100,Partly Cloudy,rain,5.716666667,2.266666667,0.85,17.7422,307,14.9569,0,1024.69,Partly cloudy throughout the day and breezy in the evening.
2011-04-16 10:00:00.000 +0200,Partly Cloudy,rain,12.68888889,12.68888889,0.49,21.6545,41,9.982,0,1020.14,Partly cloudy throughout the day.
2011-06-18 09:00:00.000 +0200,Partly Cloudy,rain,27.66666667,28.37222222,0.53,12.6868,210,9.982,0,1012.36,Partly cloudy until night.
2014-11-15 11:00:00.000 +0100,Partly Cloudy,rain,12.73333333,12.73333333,0.72,24.633,150,9.982,0,1016.37,Partly cloudy throughout the day.
2008-12-02 14:00:00.000 +0100,Mostly Cloudy,rain,12.26666667,12.26666667,0.72,9.2092,129,9.982,0,1012.8,Mostly cloudy starting overnight.
2007-04-24 01:00:00.000 +0200,Partly Cloudy,rain,4.588888889,4.588888889,0.69,3.2039,211,15.8263,0,1021.24,Partly cloudy starting overnight.
2011-08-22 08:00:00.000 +0200,Clear,rain,22.32222222,22.32222222,0.61,3.5259,149,9.982,0,1020.01,Partly cloudy starting overnight continuing until morning.
2009-12-13 00:00:00.000 +0100,Overcast,snow,0,-4.866666667,0.82,17.71,40,15.134,0,1017.8,Mostly cloudy throughout the day.
2008-06-08 02:00:00.000 +0200,Mostly Cloudy,rain,15.23888889,15.23888889,0.93,6.2146,47,8.3559,0,1016.17,Mostly cloudy throughout the day.
2013-03-30 19:00:00.000 +0100,Overcast,rain,10.92222222,10.92222222,0.99,5.2969,77,5.1681,0,1002.35,Mostly cloudy throughout the day.
2015-07-19 17:00:00.000 +0200,Partly Cloudy,rain,33.86111111,34.88333333,0.39,7.7119,152,15.5526,0,1010.64,Partly cloudy throughout the day.
2015-01-13 04:00:00.000 +0100,Clear,snow,-0.061111111,-4.055555556,0.84,12.9122,175,15.1823,0,1026.41,Partly cloudy until evening.
2015-04-12 20:00:00.000 +0200,Mostly Cloudy,rain,16.41666667,16.41666667,0.5,10.9641,302,10.5777,0,1025.58,Partly cloudy throughout the day.
2007-09-08 01:00:00.000 +0200,Mostly Cloudy,rain,9.605555556,9.605555556,0.86,3.5581,271,6.2951,0,1014.81,Mostly cloudy throughout the day.
2016-06-01 07:00:00.000 +0200,Mostly Cloudy,rain,16.97777778,16.97777778,0.81,9.4024,173,10.2557,0,1014.12,Mostly cloudy throughout the day.
2014-12-22 15:00:00.000 +0100,Clear,rain,6.161111111,3.338888889,0.76,14.0714,211,9.982,0,0,Clear throughout the day.
2012-02-11 15:00:00.000 +0100,Mostly Cloudy,snow,-10,-15.11666667,0.8,9.66,340,6.118,0,1029,Foggy starting overnight continuing until morning.
2016-12-18 13:00:00.000 +0100,Mostly Cloudy,rain,3.588888889,0.161111111,0.83,14.2002,195,9.8532,0,1019.92,Mostly cloudy throughout the day.
2009-09-11 01:00:00.000 +0200,Mostly Cloudy,rain,19.44444444,19.44444444,0.5,6.44,30,16.1,0,1018.7,Mostly cloudy until night.
2013-11-05 18:00:00.000 +0100,Overcast,rain,10.99444444,10.99444444,0.93,12.9605,302,7.8729,0,997.32,Mostly cloudy throughout the day.
2009-11-09 13:00:00.000 +0100,Partly Cloudy,rain,15.93888889,15.93888889,0.57,2.0608,152,9.4185,0,1009.12,Foggy starting overnight continuing until morning.
2015-07-23 05:00:00.000 +0200,Partly Cloudy,rain,22.65555556,22.65555556,0.73,10.4811,126,15.5526,0,1011.36,Partly cloudy starting in the morning.
